assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_900184875.1	PRJNA224116	SAMEA104093909	na	na	na	na	562	562	Escherichia coli	na	6666666.257727.embl	latest	Complete Genome	Major	Full	2017/12/06	Unitig		GCA_900184875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/184/875/GCF_900184875.1_Unitig	./GCF_900184875.1_Unitig_genomic.fna.gz
GCF_002900305.1	PRJNA224116	SAMN08272629	na	na	na	na	562	562	Escherichia coli	strain=BH100N substr. MG2017	na	latest	Complete Genome	Major	Full	2018/01/26	ASM290030v1		GCA_002900305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/900/305/GCF_002900305.1_ASM290030v1	./GCF_002900305.1_ASM290030v1_genomic.fna.gz
GCF_002899495.1	PRJNA224116	SAMN08367764	na	na	na	na	562	562	Escherichia coli	strain=CAR	na	latest	Complete Genome	Major	Full	2018/01/25	ASM289949v1		GCA_002899495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/899/495/GCF_002899495.1_ASM289949v1	./GCF_002899495.1_ASM289949v1_genomic.fna.gz
GCF_002899475.1	PRJNA224116	SAMN08362704	na	na	na	na	562	562	Escherichia coli	strain=DH5alpha	na	latest	Complete Genome	Major	Full	2018/01/25	ASM289947v1		GCA_002899475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/899/475/GCF_002899475.1_ASM289947v1	./GCF_002899475.1_ASM289947v1_genomic.fna.gz
GCF_002952695.1	PRJNA224116	SAMN05210898	na	na	na	na	562	562	Escherichia coli	strain=FORC_042	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295269v1		GCA_002952695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/695/GCF_002952695.1_ASM295269v1	./GCF_002952695.1_ASM295269v1_genomic.fna.gz
GCF_002953775.1	PRJNA224116	SAMN08380017	na	na	na	na	562	562	Escherichia coli	strain=7A	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295377v1		GCA_002953775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/775/GCF_002953775.1_ASM295377v1	./GCF_002953775.1_ASM295377v1_genomic.fna.gz
GCF_002953835.1	PRJNA224116	SAMN08380011	na	na	na	na	562	562	Escherichia coli	strain=4A	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295383v1		GCA_002953835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/835/GCF_002953835.1_ASM295383v1	./GCF_002953835.1_ASM295383v1_genomic.fna.gz
GCF_002953895.1	PRJNA224116	SAMN08380000	na	na	na	na	562	562	Escherichia coli	strain=1A	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295389v1		GCA_002953895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/895/GCF_002953895.1_ASM295389v1	./GCF_002953895.1_ASM295389v1_genomic.fna.gz
GCF_002953815.1	PRJNA224116	SAMN08380012	na	na	na	na	562	562	Escherichia coli	strain=4FA	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295381v1		GCA_002953815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/815/GCF_002953815.1_ASM295381v1	./GCF_002953815.1_ASM295381v1_genomic.fna.gz
GCF_002763515.2	PRJNA224116	SAMN07210972	na	na	na	na	562	562	Escherichia coli	strain=BH100 substr. MG2014	na	latest	Complete Genome	Major	Full	2018/01/05	ASM276351v3		GCA_002763515.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/763/515/GCF_002763515.2_ASM276351v3	./GCF_002763515.2_ASM276351v3_genomic.fna.gz
GCF_002952855.1	PRJNA224116	SAMN08380018	na	na	na	na	562	562	Escherichia coli	strain=7FA	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295285v1		GCA_002952855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/855/GCF_002952855.1_ASM295285v1	./GCF_002952855.1_ASM295285v1_genomic.fna.gz
GCF_002953095.1	PRJNA224116	SAMN08380002	na	na	na	na	562	562	Escherichia coli	strain=1FA	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295309v1		GCA_002953095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/095/GCF_002953095.1_ASM295309v1	./GCF_002953095.1_ASM295309v1_genomic.fna.gz
GCF_002952955.1	PRJNA224116	SAMN08380003	na	na	na	na	562	562	Escherichia coli	strain=2_0	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295295v1		GCA_002952955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/952/955/GCF_002952955.1_ASM295295v1	./GCF_002952955.1_ASM295295v1_genomic.fna.gz
GCF_002953055.1	PRJNA224116	SAMN08380013	na	na	na	na	562	562	Escherichia coli	strain=5A	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295305v1		GCA_002953055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/055/GCF_002953055.1_ASM295305v1	./GCF_002953055.1_ASM295305v1_genomic.fna.gz
GCF_003043915.1	PRJNA224116	SAMN08581175	na	na	na	na	562	562	Escherichia coli	strain=RM14723	na	latest	Complete Genome	Major	Full	2018/04/06	ASM304391v1		GCA_003043915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/043/915/GCF_003043915.1_ASM304391v1	./GCF_003043915.1_ASM304391v1_genomic.fna.gz
GCF_002953755.1	PRJNA224116	SAMN08380020	na	na	na	na	562	562	Escherichia coli	strain=8FA	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295375v1		GCA_002953755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/755/GCF_002953755.1_ASM295375v1	./GCF_002953755.1_ASM295375v1_genomic.fna.gz
GCF_002953795.1	PRJNA224116	SAMN08380014	na	na	na	na	562	562	Escherichia coli	strain=5FA	na	latest	Complete Genome	Major	Full	2018/02/01	ASM295379v1		GCA_002953795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/953/795/GCF_002953795.1_ASM295379v1	./GCF_002953795.1_ASM295379v1_genomic.fna.gz
GCF_003030025.1	PRJNA224116	SAMN08663435	na	na	na	na	562	562	Escherichia coli	strain=CFSAN064036	na	latest	Complete Genome	Major	Full	2018/04/02	ASM303002v1		GCA_003030025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/025/GCF_003030025.1_ASM303002v1	./GCF_003030025.1_ASM303002v1_genomic.fna.gz
GCF_003030245.1	PRJNA224116	SAMN08668598	na	na	na	na	562	562	Escherichia coli	strain=CFSAN018748	na	latest	Complete Genome	Major	Full	2018/04/02	ASM303024v1		GCA_003030245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/030/245/GCF_003030245.1_ASM303024v1	./GCF_003030245.1_ASM303024v1_genomic.fna.gz
GCF_002999075.1	PRJNA224116	SAMN07291517	na	na	na	na	562	562	Escherichia coli	strain=AR_0374	na	latest	Complete Genome	Major	Full	2018/03/14	ASM299907v1		GCA_002999075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/999/075/GCF_002999075.1_ASM299907v1	./GCF_002999075.1_ASM299907v1_genomic.fna.gz
GCF_003018755.1	PRJNA224116	SAMN08579566	na	na	na	na	562	562	Escherichia coli	strain=2014C-4587	na	latest	Complete Genome	Major	Full	2018/03/26	ASM301875v1		GCA_003018755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/755/GCF_003018755.1_ASM301875v1	./GCF_003018755.1_ASM301875v1_genomic.fna.gz
GCF_003018555.1	PRJNA224116	SAMN08579596	na	na	na	na	562	562	Escherichia coli	strain=2013C-4225	na	latest	Complete Genome	Major	Full	2018/03/26	ASM301855v1		GCA_003018555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/018/555/GCF_003018555.1_ASM301855v1	./GCF_003018555.1_ASM301855v1_genomic.fna.gz
GCF_003017805.1	PRJNA224116	SAMN08579560	na	na	na	na	562	562	Escherichia coli	strain=2013C-4830	na	latest	Complete Genome	Major	Full	2018/03/26	ASM301780v1		GCA_003017805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/017/805/GCF_003017805.1_ASM301780v1	./GCF_003017805.1_ASM301780v1_genomic.fna.gz
GCF_003180995.1	PRJNA224116	SAMN09245647	na	na	na	na	562	562	Escherichia coli	strain=DA33137	na	latest	Complete Genome	Major	Full	2018/05/31	ASM318099v1		GCA_003180995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/180/995/GCF_003180995.1_ASM318099v1	./GCF_003180995.1_ASM318099v1_genomic.fna.gz
GCF_000801165.1	PRJNA224116	SAMN03264844	na	na	na	na	562	562	Escherichia coli	strain=RM9387	na	latest	Complete Genome	Major	Full	2014/12/15	ASM80116v1		GCA_000801165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/165/GCF_000801165.1_ASM80116v1	./GCF_000801165.1_ASM80116v1_genomic.fna.gz
GCF_000599685.1	PRJNA224116	SAMN02666697	na	na	na	na	562	562	Escherichia coli	strain=ST2747	na	latest	Complete Genome	Major	Full	2014/03/19	ASM59968v1		GCA_000599685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/685/GCF_000599685.1_ASM59968v1	./GCF_000599685.1_ASM59968v1_genomic.fna.gz
GCF_000599625.1	PRJNA224116	SAMN02666434	na	na	na	na	562	562	Escherichia coli	strain=ST540	na	latest	Complete Genome	Major	Full	2014/03/19	ASM59962v1		GCA_000599625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/625/GCF_000599625.1_ASM59962v1	./GCF_000599625.1_ASM59962v1_genomic.fna.gz
GCF_003194345.1	PRJNA224116	SAMN08382661	na	na	na	na	562	562	Escherichia coli	strain=E41-1	na	latest	Complete Genome	Major	Full	2018/06/06	ASM319434v1		GCA_003194345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/194/345/GCF_003194345.1_ASM319434v1	./GCF_003194345.1_ASM319434v1_genomic.fna.gz
GCF_000784925.1	PRJNA224116	SAMN02709589	na	na	na	na	562	562	Escherichia coli	strain=ECONIH1	na	latest	Complete Genome	Major	Full	2014/11/17	ASM78492v1		GCA_000784925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/925/GCF_000784925.1_ASM78492v1	./GCF_000784925.1_ASM78492v1_genomic.fna.gz
GCF_000599705.1	PRJNA224116	SAMN02666698	na	na	na	na	562	562	Escherichia coli	strain=ST2747	na	latest	Complete Genome	Major	Full	2014/03/19	ASM59970v1		GCA_000599705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/705/GCF_000599705.1_ASM59970v1	./GCF_000599705.1_ASM59970v1_genomic.fna.gz
GCF_003231115.1	PRJNA224116	SAMN09227133	na	na	na	na	562	562	Escherichia coli	strain=HS30-1	na	latest	Complete Genome	Major	Full	2018/06/15	ASM323111v1		GCA_003231115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/231/115/GCF_003231115.1_ASM323111v1	./GCF_003231115.1_ASM323111v1_genomic.fna.gz
GCF_000830035.1	PRJNA224116	SAMN03292179	na	na	na	na	562	562	Escherichia coli	strain=C41(DE3)	na	latest	Complete Genome	Major	Full	2015/01/29	ASM83003v1		GCA_000830035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/830/035/GCF_000830035.1_ASM83003v1	./GCF_000830035.1_ASM83003v1_genomic.fna.gz
GCF_000599665.1	PRJNA224116	SAMN02666696	na	na	na	na	562	562	Escherichia coli	strain=ST2747	na	latest	Complete Genome	Major	Full	2014/03/19	ASM59966v1		GCA_000599665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/665/GCF_000599665.1_ASM59966v1	./GCF_000599665.1_ASM59966v1_genomic.fna.gz
GCF_000599645.1	PRJNA224116	SAMN02666695	na	na	na	na	562	562	Escherichia coli	strain=ST540	na	latest	Complete Genome	Major	Full	2014/03/19	ASM59964v1		GCA_000599645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/645/GCF_000599645.1_ASM59964v1	./GCF_000599645.1_ASM59964v1_genomic.fna.gz
GCF_000597845.1	PRJNA224116	SAMN02647163	na	na	na	na	562	562	Escherichia coli	strain=ST540	na	latest	Complete Genome	Major	Full	2014/03/19	ASM59784v1		GCA_000597845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/845/GCF_000597845.1_ASM59784v1	./GCF_000597845.1_ASM59784v1_genomic.fna.gz
GCF_000833145.1	PRJNA224116	SAMN03301757	na	na	na	na	562	562	Escherichia coli	strain=BL21 (TaKaRa)	na	latest	Complete Genome	Major	Full	2015/02/05	ASM83314v1		GCA_000833145.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/833/145/GCF_000833145.1_ASM83314v1	./GCF_000833145.1_ASM83314v1_genomic.fna.gz
GCF_000931565.1	PRJNA224116	SAMN03287565	na	na	na	na	562	562	Escherichia coli	strain=MNCRE44	na	latest	Complete Genome	Major	Full	2015/02/23	ASM93156v1		GCA_000931565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/565/GCF_000931565.1_ASM93156v1	./GCF_000931565.1_ASM93156v1_genomic.fna.gz
GCF_003308975.1	PRJNA224116	SAMN09534372	na	na	na	na	562	562	Escherichia coli	strain=2017C-4173W12	na	latest	Complete Genome	Major	Full	2018/07/10	ASM330897v1		GCA_003308975.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/308/975/GCF_003308975.1_ASM330897v1	./GCF_003308975.1_ASM330897v1_genomic.fna.gz
GCF_003051985.2	PRJNA224116	SAMN06209728	na	na	na	na	562	562	Escherichia coli	strain=WCHEC005784	na	latest	Complete Genome	Minor	Full	2018/07/02	ASM305198v2		GCA_003051985.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/051/985/GCF_003051985.2_ASM305198v2	./GCF_003051985.2_ASM305198v2_genomic.fna.gz
GCF_003288415.1	PRJNA224116	SAMN07291545	na	na	na	na	562	562	Escherichia coli	strain=AR_452	na	latest	Complete Genome	Major	Full	2018/07/05	ASM328841v1		GCA_003288415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/415/GCF_003288415.1_ASM328841v1	./GCF_003288415.1_ASM328841v1_genomic.fna.gz
GCF_000953515.1	PRJNA224116	SAMEA2547782	na	na	na	na	562	562	Escherichia coli	strain=K-12 substr. HMS174	na	latest	Complete Genome	Major	Full	2014/09/24	EcHMS174Chr		GCA_000953515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/515/GCF_000953515.1_EcHMS174Chr	./GCF_000953515.1_EcHMS174Chr_genomic.fna.gz
GCF_000819645.1	PRJNA224116	SAMN03083542	na	na	na	na	562	562	Escherichia coli	strain=789	na	latest	Complete Genome	Major	Full	2015/01/16	ASM81964v1		GCA_000819645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/819/645/GCF_000819645.1_ASM81964v1	./GCF_000819645.1_ASM81964v1_genomic.fna.gz
GCF_000988385.1	PRJNA224116	SAMN03276546	na	na	na	na	562	562	Escherichia coli	strain=SQ88	na	latest	Complete Genome	Major	Full	2015/05/06	ASM98838v1		GCA_000988385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/385/GCF_000988385.1_ASM98838v1	./GCF_000988385.1_ASM98838v1_genomic.fna.gz
GCF_000988355.1	PRJNA224116	SAMN03276545	na	na	na	na	562	562	Escherichia coli	strain=SQ37	na	latest	Complete Genome	Major	Full	2015/05/06	ASM98835v1		GCA_000988355.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/355/GCF_000988355.1_ASM98835v1	./GCF_000988355.1_ASM98835v1_genomic.fna.gz
GCF_000801185.2	PRJNA224116	SAMN03262652	na	na	na	na	562	562	Escherichia coli	strain=94-3024	na	latest	Complete Genome	Major	Full	2015/06/18	ASM80118v2		GCA_000801185.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/185/GCF_000801185.2_ASM80118v2	./GCF_000801185.2_ASM80118v2_genomic.fna.gz
GCF_000814145.2	PRJNA224116	SAMN03263950	na	na	na	na	562	562	Escherichia coli	strain=6409	na	latest	Complete Genome	Major	Full	2015/02/27	ASM81414v2		GCA_000814145.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/145/GCF_000814145.2_ASM81414v2	./GCF_000814145.2_ASM81414v2_genomic.fna.gz
GCF_000988465.1	PRJNA224116	SAMN03276542	na	na	na	na	562	562	Escherichia coli	strain=SQ2203	na	latest	Complete Genome	Major	Full	2015/05/06	ASM98846v1		GCA_000988465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/988/465/GCF_000988465.1_ASM98846v1	./GCF_000988465.1_ASM98846v1_genomic.fna.gz
GCF_000952955.1	PRJNA224116	SAMEA2547783	na	na	na	na	562	562	Escherichia coli	strain=K-12 substr. RV308	na	latest	Complete Genome	Major	Full	2014/09/24	EcRV308Chr		GCA_000952955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/952/955/GCF_000952955.1_EcRV308Chr	./GCF_000952955.1_EcRV308Chr_genomic.fna.gz
GCF_000971615.1	PRJNA224116	SAMN03390066	na	na	na	na	562	562	Escherichia coli	strain=CI5	na	latest	Complete Genome	Major	Full	2015/04/13	ASM97161v1		GCA_000971615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/971/615/GCF_000971615.1_ASM97161v1	./GCF_000971615.1_ASM97161v1_genomic.fna.gz
GCF_001043215.1	PRJNA224116	SAMN03659038	na	na	na	na	562	562	Escherichia coli	strain=NCM3722	K-12	latest	Complete Genome	Major	Full	2015/06/30	ASM104321v1		GCA_001043215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/043/215/GCF_001043215.1_ASM104321v1	./GCF_001043215.1_ASM104321v1_genomic.fna.gz
GCF_001039415.1	PRJNA224116	SAMN03761398	na	na	na	na	562	562	Escherichia coli	strain=C43(DE3)	na	latest	Complete Genome	Major	Full	2015/06/25	ASM103941v1		GCA_001039415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/039/415/GCF_001039415.1_ASM103941v1	./GCF_001039415.1_ASM103941v1_genomic.fna.gz
GCF_003432305.1	PRJNA224116	SAMN09845286	na	na	na	na	562	562	Escherichia coli	strain=2452	na	latest	Complete Genome	Major	Full	2018/08/30	ASM343230v1		GCA_003432305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/432/305/GCF_003432305.1_ASM343230v1	./GCF_003432305.1_ASM343230v1_genomic.fna.gz
GCF_003402955.1	PRJNA224116	SAMN09630238	na	na	na	na	562	562	Escherichia coli	strain=cq9	na	latest	Complete Genome	Major	Full	2018/08/18	ASM340295v1		GCA_003402955.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/402/955/GCF_003402955.1_ASM340295v1	./GCF_003402955.1_ASM340295v1_genomic.fna.gz
GCF_001183665.1	PRJNA224116	SAMN03863255	na	na	na	na	562	562	Escherichia coli	strain=DH1Ec104	na	latest	Complete Genome	Major	Full	2015/07/21	ASM118366v1		GCA_001183665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/665/GCF_001183665.1_ASM118366v1	./GCF_001183665.1_ASM118366v1_genomic.fna.gz
GCF_001183685.1	PRJNA224116	SAMN03863378	na	na	na	na	562	562	Escherichia coli	strain=DH1Ec169	na	latest	Complete Genome	Major	Full	2015/07/21	ASM118368v1		GCA_001183685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/685/GCF_001183685.1_ASM118368v1	./GCF_001183685.1_ASM118368v1_genomic.fna.gz
GCF_001183645.1	PRJNA224116	SAMN03861948	na	na	na	na	562	562	Escherichia coli	strain=DH1Ec095	na	latest	Complete Genome	Major	Full	2015/07/21	ASM118364v1		GCA_001183645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/183/645/GCF_001183645.1_ASM118364v1	./GCF_001183645.1_ASM118364v1_genomic.fna.gz
GCF_003571685.1	PRJNA224116	SAMN04014854	na	na	na	na	562	562	Escherichia coli	strain=AR_0013	na	latest	Complete Genome	Major	Full	2018/09/16	ASM357168v1		GCA_003571685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/571/685/GCF_003571685.1_ASM357168v1	./GCF_003571685.1_ASM357168v1_genomic.fna.gz
GCF_003443795.1	PRJNA224116	SAMN09287630	na	na	na	na	562	562	Escherichia coli	strain=E706	na	latest	Complete Genome	Major	Full	2018/09/04	ASM344379v1		GCA_003443795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/443/795/GCF_003443795.1_ASM344379v1	./GCF_003443795.1_ASM344379v1_genomic.fna.gz
GCF_001308125.1	PRJNA224116	SAMN03203488	na	na	na	na	562	562	Escherichia coli	strain=K-12 substr. MG1655_TMP32XR1	na	latest	Complete Genome	Major	Full	2015/10/08	ASM130812v1		GCA_001308125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/308/125/GCF_001308125.1_ASM130812v1	./GCF_001308125.1_ASM130812v1_genomic.fna.gz
GCF_000967155.2	PRJNA224116	SAMEA3865278	na	na	na	na	562	562	Escherichia coli	strain=HUSEC2011	na	latest	Complete Genome	Major	Full	2015/01/07	HUSEC2011CHR1		GCA_000967155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/967/155/GCF_000967155.2_HUSEC2011CHR1	./GCF_000967155.2_HUSEC2011CHR1_genomic.fna.gz
GCF_001515725.1	PRJNA224116	SAMN04385793	na	na	na	na	562	562	Escherichia coli	strain=ACN002	na	latest	Complete Genome	Major	Full	2016/01/15	ASM151572v1		GCA_001515725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/515/725/GCF_001515725.1_ASM151572v1	./GCF_001515725.1_ASM151572v1_genomic.fna.gz
GCF_001513635.1	PRJNA224116	SAMN04381854	na	na	na	na	562	562	Escherichia coli	strain=JJ2434	na	latest	Complete Genome	Major	Full	2016/01/12	ASM151363v1		GCA_001513635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/513/635/GCF_001513635.1_ASM151363v1	./GCF_001513635.1_ASM151363v1_genomic.fna.gz
GCF_003790525.1	PRJNA224116	SAMN07723175	na	na	na	na	562	562	Escherichia coli	na	ECCNB12-2	latest	Complete Genome	Major	Full	2018/11/19	ASM379052v1		GCA_003790525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/790/525/GCF_003790525.1_ASM379052v1	./GCF_003790525.1_ASM379052v1_genomic.fna.gz
