"Gene","Non-unique Gene name","No. isolates","No. sequences"
"SRR15376144_complete_genome_CDS_0778","persistent","175","187"
"SRR15376144_complete_genome_CDS_0842","persistent","175","175"
"SRR15376144_complete_genome_CDS_0874","persistent","175","175"
"SRR15376144_complete_genome_CDS_0938","persistent","175","175"
"SRR15376144_complete_genome_CDS_1002","persistent","175","175"
"SRR15376144_complete_genome_CDS_1034","persistent","175","175"
"SRR15376144_complete_genome_CDS_1066","persistent","175","175"
"SRR15376144_complete_genome_CDS_1098","persistent","175","175"
"SRR15376144_complete_genome_CDS_1131","persistent","175","175"
"SRR15376144_complete_genome_CDS_1228","persistent","175","175"
"SRR15376144_complete_genome_CDS_1260","persistent","175","175"
"SRR15376144_complete_genome_CDS_1292","persistent","175","175"
"SRR15376144_complete_genome_CDS_1324","persistent","175","175"
"SRR15376144_complete_genome_CDS_1356","persistent","175","175"
"SRR15376144_complete_genome_CDS_1388","persistent","175","175"
"SRR15376144_complete_genome_CDS_1548","persistent","175","175"
"SRR15376144_complete_genome_CDS_1580","persistent","175","175"
"SRR15376144_complete_genome_CDS_1612","persistent","174","174"
"SRR15376144_complete_genome_CDS_1644","persistent","175","175"
"SRR15376144_complete_genome_CDS_1676","persistent","175","175"
"SRR15376144_complete_genome_CDS_1708","persistent","175","175"
"SRR15376144_complete_genome_CDS_1740","persistent","175","175"
"SRR15376144_complete_genome_CDS_1772","persistent","175","383"
"SRR15376144_complete_genome_CDS_1804","persistent","175","903"
"SRR15376144_complete_genome_CDS_2060","shell","171","171"
"SRR15415549_complete_genome_CDS_1803","persistent","175","175"
"SRR15415549_complete_genome_CDS_1899","persistent","174","174"
"SRR15415549_complete_genome_CDS_1963","persistent","173","173"
"SRR15415549_complete_genome_CDS_1995","persistent","175","175"
"SRR15415549_complete_genome_CDS_2123","persistent","175","175"
"SRR15415549_complete_genome_CDS_2155","persistent","175","175"
"SRR15415549_complete_genome_CDS_2187","persistent","175","175"
"SRR15415549_complete_genome_CDS_2219","persistent","175","175"
"SRR15415549_complete_genome_CDS_2251","persistent","175","175"
"SRR15415549_complete_genome_CDS_2283","persistent","175","175"
"SRR15415549_complete_genome_CDS_2315","persistent","175","175"
"SRR15415549_complete_genome_CDS_2347","persistent","175","175"
"SRR15415549_complete_genome_CDS_2379","persistent","172","173"
"SRR15415549_complete_genome_CDS_2507","persistent","175","175"
"SRR15415549_complete_genome_CDS_2731","persistent","175","175"
"SRR15415549_complete_genome_CDS_2763","persistent","175","175"
"SRR15415549_complete_genome_CDS_2795","persistent","175","175"
"SRR15415549_complete_genome_CDS_2891","persistent","175","176"
"SRR15415549_complete_genome_CDS_2924","persistent","175","176"
"SRR15415549_complete_genome_CDS_2956","persistent","174","175"
"SRR15415549_complete_genome_CDS_3020","persistent","174","283"
"SRR15415549_complete_genome_CDS_3052","shell","54","55"
"SRR15415549_complete_genome_CDS_3148","persistent","175","175"
"SRR15415549_complete_genome_CDS_3180","persistent","175","175"
"SRR15415549_complete_genome_CDS_3212","persistent","175","351"
"SRR15415549_complete_genome_CDS_3244","shell","163","165"
"SRR15415549_complete_genome_CDS_3276","persistent","172","174"
"SRR15415549_complete_genome_CDS_3308","persistent","172","172"
"SRR15415549_complete_genome_CDS_3340","persistent","175","175"
"SRR15415549_complete_genome_CDS_3436","persistent","175","175"
"SRR15415549_complete_genome_CDS_3532","persistent","175","175"
"SRR15415549_complete_genome_CDS_3564","persistent","175","175"
"SRR15415549_complete_genome_CDS_3660","persistent","175","175"
"SRR15415549_complete_genome_CDS_3692","persistent","175","175"
"SRR15415549_complete_genome_CDS_3756","shell","165","165"
"SRR15415549_complete_genome_CDS_3788","persistent","175","175"
"SRR15415549_complete_genome_CDS_3820","persistent","175","175"
"SRR15415549_complete_genome_CDS_3852","persistent","175","175"
"SRR15415549_complete_genome_CDS_3884","persistent","175","175"
"SRR15415549_complete_genome_CDS_3916","persistent","175","175"
"SRR15415549_complete_genome_CDS_3948","persistent","175","175"
"SRR15415549_complete_genome_CDS_3980","persistent","175","175"
"SRR15415549_complete_genome_CDS_4012","persistent","175","175"
"SRR15415549_complete_genome_CDS_4044","persistent","175","175"
"SRR15415549_complete_genome_CDS_4076","persistent","175","175"
"SRR15415549_complete_genome_CDS_4108","persistent","175","175"
"SRR15415549_complete_genome_CDS_4140","persistent","175","175"
"SRR15415549_complete_genome_CDS_4172","persistent","175","175"
"SRR15415549_complete_genome_CDS_4204","persistent","175","175"
"SRR15415549_complete_genome_CDS_4236","persistent","173","173"
"SRR15415549_complete_genome_CDS_4268","persistent","175","175"
"SRR6929631_complete_genome_CDS_0554","persistent","175","175"
"SRR6929631_complete_genome_CDS_0618","persistent","175","175"
"SRR6929631_complete_genome_CDS_0650","persistent","175","175"
"SRR6929631_complete_genome_CDS_0682","persistent","175","175"
"SRR6929631_complete_genome_CDS_0714","persistent","175","175"
"SRR6929631_complete_genome_CDS_0746","persistent","175","175"
"SRR6929631_complete_genome_CDS_0778","persistent","175","175"
"SRR6929631_complete_genome_CDS_0906","persistent","175","175"
"SRR6929631_complete_genome_CDS_1292","persistent","175","175"
"SRR6929631_complete_genome_CDS_1324","persistent","175","175"
"SRR6929631_complete_genome_CDS_1356","persistent","175","175"
"SRR6929631_complete_genome_CDS_1388","persistent","175","175"
"SRR6929631_complete_genome_CDS_1420","persistent","175","175"
"SRR6929631_complete_genome_CDS_1580","persistent","175","175"
"SRR6929631_complete_genome_CDS_1612","persistent","175","179"
"SRR6929631_complete_genome_CDS_1644","persistent","175","175"
"SRR6929631_complete_genome_CDS_1740","persistent","175","175"
"SRR6929631_complete_genome_CDS_1772","persistent","175","175"
"SRR6929631_complete_genome_CDS_1804","persistent","175","175"
"SRR6929631_complete_genome_CDS_1836","persistent","175","175"
"SRR6929631_complete_genome_CDS_1868","shell","98","110"
"SRR6929631_complete_genome_CDS_2572","persistent","175","175"
"SRR6929631_complete_genome_CDS_2700","persistent","175","175"
"SRR6929631_complete_genome_CDS_2732","persistent","175","175"
"SRR6929631_complete_genome_CDS_2764","persistent","175","175"
"SRR6929631_complete_genome_CDS_2796","persistent","175","175"
"SRR6929631_complete_genome_CDS_2892","persistent","175","176"
"SRR6929631_complete_genome_CDS_2925","persistent","175","176"
"SRR6929631_complete_genome_CDS_2957","persistent","172","173"
"SRR6929631_complete_genome_CDS_3021","shell","119","120"
"SRR6929631_complete_genome_CDS_3117","persistent","175","175"
"SRR6929631_complete_genome_CDS_3149","persistent","175","175"
"SRR6929631_complete_genome_CDS_3181","persistent","175","175"
"SRR6929631_complete_genome_CDS_3437","persistent","175","175"
"SRR6929631_complete_genome_CDS_3469","persistent","175","175"
"SRR6929631_complete_genome_CDS_3501","persistent","175","175"
"SRR6929631_complete_genome_CDS_3533","persistent","175","175"
"SRR6929631_complete_genome_CDS_3565","persistent","175","175"
"SRR6929631_complete_genome_CDS_3597","persistent","175","175"
"SRR3191403_complete_genome_CDS_1866","shell","162","162"
"SRR3191403_complete_genome_CDS_1898","persistent","175","350"
"SRR3191403_complete_genome_CDS_2122","cloud","5","6"
"SRR3191403_complete_genome_CDS_2218","shell","151","152"
"SRR3191403_complete_genome_CDS_2410","shell","164","171"
"SRR3191403_complete_genome_CDS_2474","persistent","175","175"
"SRR3191403_complete_genome_CDS_2602","persistent","175","175"
"SRR3191403_complete_genome_CDS_2698","persistent","175","175"
"SRR3191403_complete_genome_CDS_2730","persistent","174","174"
"SRR3191403_complete_genome_CDS_2794","persistent","174","174"
"SRR3191403_complete_genome_CDS_2826","persistent","174","174"
"SRR3191403_complete_genome_CDS_3018","shell","63","67"
"SRR3191403_complete_genome_CDS_3050","persistent","175","175"
"SRR3191403_complete_genome_CDS_3755","persistent","175","175"
"SRR3191403_complete_genome_CDS_3788","persistent","175","175"
"SRR3191403_complete_genome_CDS_4366","persistent","175","175"
"SRR3191403_complete_genome_CDS_4398","persistent","175","175"
"SRR3191403_complete_genome_CDS_4494","persistent","175","175"
"SRR3191403_complete_genome_CDS_4654","persistent","174","174"
"SRR3191403_complete_genome_CDS_4686","persistent","175","175"
"SRR3191403_complete_genome_CDS_4718","persistent","175","175"
"SRR3191403_complete_genome_CDS_4782","persistent","175","175"
"SRR3191403_complete_genome_CDS_4814","persistent","175","175"
"SRR3191403_complete_genome_CDS_4846","persistent","175","175"
"SRR3191403_complete_genome_CDS_4878","persistent","175","175"
"SRR3191403_complete_genome_CDS_5008","persistent","175","175"
"SRR15415538_complete_genome_CDS_3958","persistent","175","175"
"SRR15415538_complete_genome_CDS_3990","persistent","175","175"
"SRR15415538_complete_genome_CDS_4342","persistent","175","175"
"SRR4301571_complete_genome_CDS_1866","shell","131","139"
"SRR4301571_complete_genome_CDS_2250","persistent","175","175"
"SRR4301571_complete_genome_CDS_2570","shell","148","149"
"SRR4301571_complete_genome_CDS_2730","persistent","175","175"
"SRR4301571_complete_genome_CDS_2762","persistent","175","175"
"SRR4301571_complete_genome_CDS_3115","persistent","175","680"
"SRR4301571_complete_genome_CDS_3179","persistent","175","175"
"SRR4301571_complete_genome_CDS_3211","persistent","175","175"
"SRR4301571_complete_genome_CDS_3243","persistent","175","175"
"SRR4301571_complete_genome_CDS_3563","cloud","5","5"
"SRR4301571_complete_genome_CDS_4171","persistent","173","173"
"SRR4301571_complete_genome_CDS_4396","persistent","175","175"
"SRR4301571_complete_genome_CDS_4428","persistent","175","175"
"SRR4301571_complete_genome_CDS_4460","persistent","174","174"
"SRR4301571_complete_genome_CDS_4492","persistent","175","175"
"SRR4301571_complete_genome_CDS_4524","persistent","175","175"
"SRR4301571_complete_genome_CDS_4556","persistent","175","176"
"SRR4301571_complete_genome_CDS_4588","persistent","175","178"
"SRR4301571_complete_genome_CDS_4620","persistent","175","175"
"SRR4301571_complete_genome_CDS_4652","shell","45","45"
"SRR4301571_complete_genome_CDS_4685","persistent","175","175"
"SRR9994127_complete_genome_CDS_2539","persistent","175","175"
"SRR9994127_complete_genome_CDS_2571","persistent","175","175"
"SRR9994127_complete_genome_CDS_2603","persistent","174","174"
"SRR9994127_complete_genome_CDS_2859","persistent","175","175"
"SRR9994127_complete_genome_CDS_2891","persistent","175","175"
"SRR9994127_complete_genome_CDS_3403","shell","156","207"
"SRR9994127_complete_genome_CDS_3691","persistent","175","175"
"SRR9994127_complete_genome_CDS_3723","persistent","175","175"
"SRR9994127_complete_genome_CDS_4591","persistent","175","175"
"SRR9994127_complete_genome_CDS_4623","persistent","175","175"
"SRR9994127_complete_genome_CDS_4751","persistent","175","175"
"SRR9994127_complete_genome_CDS_4783","persistent","175","175"
"SRR9994127_complete_genome_CDS_4815","persistent","174","174"
"SRR9994127_complete_genome_CDS_4847","persistent","175","175"
"SRR9994127_complete_genome_CDS_4879","persistent","175","180"
"SRR9994127_complete_genome_CDS_4975","persistent","175","175"
"SRR9994127_complete_genome_CDS_5007","persistent","175","175"
"SRR9994127_complete_genome_CDS_5039","persistent","175","176"
"SRR9994127_complete_genome_CDS_5071","persistent","175","177"
"SRR15376142_complete_genome_CDS_2198","persistent","174","216"
"SRR15376142_complete_genome_CDS_3255","persistent","175","175"
"SRR15376142_complete_genome_CDS_3287","persistent","175","175"
"SRR15376142_complete_genome_CDS_3319","persistent","175","175"
"SRR15376142_complete_genome_CDS_3799","shell","166","167"
"SRR15376142_complete_genome_CDS_4343","persistent","175","175"
"SRR15376142_complete_genome_CDS_4760","persistent","175","175"
"SRR15376142_complete_genome_CDS_4952","shell","121","121"
"SRR15376142_complete_genome_CDS_5082","persistent","175","175"
"SRR6929634_complete_genome_CDS_4275","shell","82","82"
"SRR6929634_complete_genome_CDS_4820","persistent","174","174"
"SRR6929634_complete_genome_CDS_4852","shell","121","121"
"SRR6929634_complete_genome_CDS_4982","persistent","175","175"
"SRR6929634_complete_genome_CDS_5176","shell","169","170"
"SRR6929634_complete_genome_CDS_5304","cloud","1","1"
"SRR15376152_complete_genome_CDS_0020","persistent","175","175"
"SRR15376152_complete_genome_CDS_0758","persistent","175","175"
"SRR15376152_complete_genome_CDS_0790","persistent","175","175"
"SRR15376152_complete_genome_CDS_0822","persistent","175","175"
"SRR15376152_complete_genome_CDS_0854","persistent","175","175"
"SRR15376152_complete_genome_CDS_0886","persistent","175","175"
"SRR15376152_complete_genome_CDS_1464","shell","13","13"
"SRR10119255_complete_genome_CDS_2623","persistent","175","175"
"SRR10119255_complete_genome_CDS_2655","persistent","174","174"
"SRR10119255_complete_genome_CDS_3360","shell","46","49"
"SRR10119255_complete_genome_CDS_4769","persistent","175","175"
"SRR10119255_complete_genome_CDS_4801","persistent","175","178"
"SRR10119255_complete_genome_CDS_5060","persistent","175","176"
"SRR10119255_complete_genome_CDS_5092","persistent","175","176"
"SRR3195852_complete_genome_CDS_0157","persistent","175","175"
"SRR6929633_complete_genome_CDS_3040","persistent","175","177"
"SRR6929633_complete_genome_CDS_5060","persistent","175","176"
"SRR6929633_complete_genome_CDS_5092","persistent","175","175"
"SRR6929633_complete_genome_CDS_5124","persistent","175","176"
"SRR6929633_complete_genome_CDS_5157","shell","169","178"
"SRR6929629_complete_genome_CDS_4100","shell","47","47"
"SRR6929629_complete_genome_CDS_4293","shell","59","65"
"SRR9994124_complete_genome_CDS_0945","shell","46","46"
"DRR381601_complete_genome_CDS_1986","shell","146","162"
"SRR15376154_complete_genome_CDS_4321","shell","114","115"
"SRR15376154_complete_genome_CDS_4802","persistent","175","175"
"SRR15376154_complete_genome_CDS_5350","shell","19","19"
"DRR381661_complete_genome_CDS_1489","persistent","175","175"
"DRR381661_complete_genome_CDS_1713","shell","40","40"
"DRR381661_complete_genome_CDS_2577","persistent","175","175"
"SRR15415580_complete_genome_CDS_5277","shell","17","17"
"SRR3195841_complete_genome_CDS_2966","shell","10","10"
"DRR381723_complete_genome_CDS_4131","persistent","175","175"
"DRR381723_complete_genome_CDS_4163","persistent","175","175"
"DRR381723_complete_genome_CDS_4195","persistent","174","174"
"SRR6929611_complete_genome_CDS_5288","cloud","1","1"
"SRR6929611_complete_genome_CDS_5320","cloud","1","1"
"SRR6929611_complete_genome_CDS_5352","cloud","1","1"
"SRR6929611_complete_genome_CDS_5416","shell","28","28"
"SRR5864678_complete_genome_CDS_3160","cloud","1","1"
"SRR25510170_complete_genome_CDS_2660","shell","163","186"
"SRR25510170_complete_genome_CDS_3749","persistent","175","175"
"SRR6929618_complete_genome_CDS_4350","shell","59","65"
"SRR6929618_complete_genome_CDS_4382","shell","54","59"
"SRR941218_complete_genome_CDS_3596","cloud","3","3"
"DRR381665_complete_genome_CDS_1618","cloud","4","4"
"DRR381665_complete_genome_CDS_2258","shell","8","9"
"SRR1509643_complete_genome_CDS_2251","cloud","2","2"
"SRR15415613_complete_genome_CDS_5324","cloud","3","3"
"SRR15415613_complete_genome_CDS_5356","cloud","3","3"
"SRR15415613_complete_genome_CDS_5388","cloud","3","3"
"SRR15415613_complete_genome_CDS_5452","cloud","3","3"
"SRR4301562_complete_genome_CDS_3654","shell","15","17"
"SRR4301562_complete_genome_CDS_5291","cloud","1","1"
"SRR15415539_complete_genome_CDS_2493","cloud","6","7"
"SRR15415539_complete_genome_CDS_2813","shell","54","55"
"SRR13160357_complete_genome_CDS_2385","cloud","7","7"
"SRR6929639_complete_genome_CDS_4196","shell","54","56"
"SRR13160360_complete_genome_CDS_1431","cloud","5","5"
"SRR14419383_complete_genome_CDS_2273","shell","8","8"
"SRR14419383_complete_genome_CDS_3554","cloud","1","1"
"SRR15674630_complete_genome_CDS_2846","persistent","175","701"
"SRR4301513_complete_genome_CDS_1512","shell","21","21"
"SRR6118142_complete_genome_CDS_1454","shell","23","23"
"SRR6118142_complete_genome_CDS_1486","shell","17","18"
"SRR15415624_complete_genome_CDS_5462","cloud","5","5"
"SRR6929611_complete_genome_CDS_5291","cloud","1","1"
"SRR6929611_complete_genome_CDS_5323","cloud","1","1"
"SRR427084_complete_genome_CDS_3658","cloud","1","1"
"SRR427084_complete_genome_CDS_3691","cloud","1","1"
"SRR4301555_complete_genome_CDS_5327","cloud","6","6"
"SRR15415620_complete_genome_CDS_0811","cloud","1","1"
"SRR15415620_complete_genome_CDS_0843","persistent","174","191"
"SRR15415620_complete_genome_CDS_1901","cloud","3","4"
"SRR15415613_complete_genome_CDS_5327","cloud","3","3"
"SRR15415613_complete_genome_CDS_5391","cloud","3","3"
"SRR15415613_complete_genome_CDS_5455","cloud","3","3"
"DRR381745_complete_genome_CDS_3637","shell","9","9"
"SRR3191403_complete_genome_CDS_2127","shell","13","13"
"SRR3191403_complete_genome_CDS_2415","shell","164","171"
"DRR381740_complete_genome_CDS_3146","shell","19","19"
"SRR3195841_complete_genome_CDS_1850","cloud","7","7"
"SRR15415620_complete_genome_CDS_5302","cloud","3","3"
"DRR381635_complete_genome_CDS_5213","cloud","3","3"
"SRR15277995_complete_genome_CDS_5486","cloud","1","1"
"SRR6929606_complete_genome_CDS_5254","cloud","5","5"
"SRR4301494_complete_genome_CDS_3707","cloud","4","4"
"SRR15415556_complete_genome_CDS_4295","persistent","175","175"
"SRR5864678_complete_genome_CDS_4863","shell","113","167"
"SRR15415539_complete_genome_CDS_2498","cloud","1","1"
"SRR15415621_complete_genome_CDS_5301","cloud","6","6"
"SRR13160357_complete_genome_CDS_5309","cloud","5","5"
"SRR13160357_complete_genome_CDS_5373","cloud","1","1"
"SRR15415613_complete_genome_CDS_3631","shell","9","9"
"SRR15415574_complete_genome_CDS_1168","cloud","1","1"
"SRR25603927_complete_genome_CDS_4628","cloud","7","7"
"SRR4301514_complete_genome_CDS_5362","cloud","3","3"
"DRR381701_complete_genome_CDS_3814","cloud","4","4"
"SRR8292155_complete_genome_CDS_5385","cloud","1","1"
"SRR4301574_complete_genome_CDS_0253","persistent","175","175"
"SRR15415620_complete_genome_CDS_4276","cloud","1","1"
"SRR15415620_complete_genome_CDS_5339","cloud","3","3"
"DRR381635_complete_genome_CDS_5282","cloud","3","3"
"SRR6929634_complete_genome_CDS_5251","cloud","1","1"
"SRR6929634_complete_genome_CDS_5283","cloud","6","6"
"SRR10520171_complete_genome_CDS_2169","cloud","1","1"
"SRR4301527_complete_genome_CDS_3735","cloud","7","7"
"SRR5870510_complete_genome_CDS_0563","cloud","1","1"
"SRR9694420_complete_genome_CDS_0418","cloud","2","2"
"SRR15415554_complete_genome_CDS_1922","cloud","2","2"
"SRR10506462_complete_genome_CDS_2673","cloud","1","1"
"SRR4301574_complete_genome_CDS_5357","cloud","1","1"
"SRR10520171_complete_genome_CDS_2174","cloud","1","1"
"SRR10520171_complete_genome_CDS_2846","cloud","6","6"
"SRR2914453_complete_genome_CDS_0981","shell","8","8"
"SRR14419375_complete_genome_CDS_0901","cloud","1","1"
"SRR15376151_complete_genome_CDS_2341","cloud","1","1"
"SRR15415620_complete_genome_CDS_5250","cloud","2","2"
"SRR15415620_complete_genome_CDS_5378","cloud","1","1"
"SRR15415620_complete_genome_CDS_0537","cloud","2","2"
"SRR15415620_complete_genome_CDS_0825","cloud","1","1"
"SRR1509643_complete_genome_CDS_1020","cloud","1","1"
"SRR15415613_complete_genome_CDS_5406","cloud","2","2"
"SRR15415613_complete_genome_CDS_5438","cloud","2","2"
"SRR15415574_complete_genome_CDS_2331","shell","167","169"
"SRR10520171_complete_genome_CDS_2178","cloud","1","1"
"SRR15415542_complete_genome_CDS_4107","cloud","1","1"
"SRR15415542_complete_genome_CDS_5390","cloud","2","2"
"SRR15415542_complete_genome_CDS_5422","cloud","2","2"
"SRR15415542_complete_genome_CDS_5454","cloud","2","2"
"SRR15415542_complete_genome_CDS_5486","cloud","2","2"
"SRR13160360_complete_genome_CDS_1737","cloud","2","2"
"SRR14419383_complete_genome_CDS_3540","cloud","1","1"
"SRR15415620_complete_genome_CDS_2782","cloud","1","1"
"SRR15415620_complete_genome_CDS_2814","cloud","1","1"
"SRR15415620_complete_genome_CDS_2846","cloud","1","1"
"SRR15415620_complete_genome_CDS_2878","cloud","1","1"
"SRR15415620_complete_genome_CDS_3807","cloud","2","2"
"SRR15415542_complete_genome_CDS_5394","cloud","2","2"
"SRR15415542_complete_genome_CDS_5426","cloud","2","2"
"SRR15415542_complete_genome_CDS_5458","cloud","2","2"
"SRR13160360_complete_genome_CDS_1453","cloud","2","2"
"SRR3205742_complete_genome_CDS_5238","cloud","1","1"
"SRR3205742_complete_genome_CDS_5270","cloud","4","4"
"SRR15415620_complete_genome_CDS_0800","cloud","2","2"
"SRR15415620_complete_genome_CDS_0832","cloud","1","1"
"SRR15415620_complete_genome_CDS_2787","cloud","1","1"
"SRR15415620_complete_genome_CDS_2819","cloud","1","1"
"SRR15415620_complete_genome_CDS_2851","cloud","1","1"
"SRR15415620_complete_genome_CDS_4164","cloud","3","3"
"SRR15415620_complete_genome_CDS_4228","persistent","171","172"
"SRR4301514_complete_genome_CDS_5315","cloud","2","2"
"SRR4301514_complete_genome_CDS_5411","cloud","2","2"
"SRR14419377_complete_genome_CDS_3124","cloud","2","2"
"SRR15415542_complete_genome_CDS_5397","cloud","2","2"
"SRR15415542_complete_genome_CDS_5429","cloud","2","2"
"SRR15415542_complete_genome_CDS_5461","cloud","2","2"
"SRR5864678_complete_genome_CDS_0078","cloud","2","2"
"SRR5864678_complete_genome_CDS_0142","cloud","2","2"
"SRR3224568_complete_genome_CDS_4487","cloud","1","1"
"SRR15415620_complete_genome_CDS_0803","cloud","1","1"
"SRR15415620_complete_genome_CDS_2789","cloud","1","1"
"SRR15415620_complete_genome_CDS_2821","cloud","1","1"
"SRR15415620_complete_genome_CDS_2853","cloud","1","1"
"SRR15415620_complete_genome_CDS_3014","persistent","175","177"
"SRR4301527_complete_genome_CDS_3976","persistent","175","175"
"SRR4301527_complete_genome_CDS_5454","cloud","2","2"
"SRR4301513_complete_genome_CDS_1538","shell","102","115"
"DRR381669_complete_genome_CDS_0674","cloud","1","1"
"SRR13160360_complete_genome_CDS_5400","cloud","2","2"
"SRR15415620_complete_genome_CDS_0804","cloud","1","1"
"SRR13160357_complete_genome_CDS_5364","cloud","1","1"
"SRR13160357_complete_genome_CDS_5492","cloud","1","1"
"SRR13160360_complete_genome_CDS_5401","cloud","2","2"
"SRR15415620_complete_genome_CDS_0805","cloud","1","1"
"SRR15415574_complete_genome_CDS_3622","cloud","2","2"
"SRR9694420_complete_genome_CDS_0436","cloud","2","2"
"SRR3195840_complete_genome_CDS_1062","persistent","175","175"
"SRR3195840_complete_genome_CDS_1094","persistent","175","175"
"SRR3195840_complete_genome_CDS_1127","persistent","175","175"
"SRR3195840_complete_genome_CDS_1159","persistent","175","176"
"SRR3195840_complete_genome_CDS_1191","persistent","175","175"
"SRR3195840_complete_genome_CDS_1224","persistent","175","175"
"SRR3195840_complete_genome_CDS_1256","persistent","175","176"
"SRR3195840_complete_genome_CDS_1288","persistent","175","175"
"SRR3195840_complete_genome_CDS_1320","persistent","175","175"
"SRR3195840_complete_genome_CDS_1352","persistent","175","175"
"SRR3195840_complete_genome_CDS_1384","persistent","175","175"
"SRR3195840_complete_genome_CDS_1416","persistent","175","176"
"SRR3195840_complete_genome_CDS_1448","persistent","175","175"
"SRR3195840_complete_genome_CDS_1480","persistent","175","175"
"SRR3195840_complete_genome_CDS_1512","persistent","175","175"
"SRR3195840_complete_genome_CDS_1576","persistent","175","175"
"SRR3195840_complete_genome_CDS_1608","persistent","175","175"
"SRR3195840_complete_genome_CDS_1640","persistent","175","175"
"SRR3195840_complete_genome_CDS_1672","shell","165","254"
"SRR3195840_complete_genome_CDS_1705","shell","115","160"
"SRR3195840_complete_genome_CDS_1769","persistent","175","175"
"SRR3195840_complete_genome_CDS_1801","persistent","175","175"
"SRR3195840_complete_genome_CDS_1833","persistent","175","175"
"SRR3195840_complete_genome_CDS_1961","persistent","175","175"
"SRR3195840_complete_genome_CDS_1993","persistent","175","175"
"SRR3195840_complete_genome_CDS_2025","persistent","174","174"
"SRR3195840_complete_genome_CDS_2057","persistent","175","175"
"SRR3195840_complete_genome_CDS_2089","persistent","175","175"
"SRR3195840_complete_genome_CDS_2121","persistent","175","175"
"SRR3195840_complete_genome_CDS_2153","persistent","175","175"
"SRR3195840_complete_genome_CDS_2185","persistent","175","175"
"SRR3195840_complete_genome_CDS_2217","persistent","175","175"
"SRR3195840_complete_genome_CDS_2249","persistent","174","174"
"SRR3195840_complete_genome_CDS_2281","persistent","175","176"
"SRR3195840_complete_genome_CDS_2313","persistent","175","176"
