"Gene","Non-unique Gene name","No. isolates","No. sequences"
"SRR13160359_assembly_CDS_1154","persistent","175","175"
"SRR6118141_assembly_CDS_0260","persistent","175","175"
"SRR6118141_assembly_CDS_0484","persistent","175","175"
"SRR6118141_assembly_CDS_0548","persistent","175","175"
"SRR6118141_assembly_CDS_1093","persistent","175","175"
"SRR6118141_assembly_CDS_1125","persistent","175","175"
"SRR6118141_assembly_CDS_1445","persistent","175","175"
"SRR6118141_assembly_CDS_1573","persistent","175","175"
"SRR6118141_assembly_CDS_1605","persistent","175","175"
"SRR6118141_assembly_CDS_1861","persistent","175","175"
"SRR6118141_assembly_CDS_1925","persistent","175","175"
"SRR6118141_assembly_CDS_2149","persistent","175","175"
"SRR6118141_assembly_CDS_2181","persistent","175","175"
"SRR6118141_assembly_CDS_2213","persistent","175","175"
"SRR6118141_assembly_CDS_2245","persistent","175","175"
"SRR6118141_assembly_CDS_2341","persistent","175","175"
"SRR6118141_assembly_CDS_2373","persistent","175","175"
"SRR6118141_assembly_CDS_2405","persistent","175","175"
"SRR6118141_assembly_CDS_2789","persistent","174","174"
"DRR381669_assembly_CDS_4673","persistent","175","175"
"DRR381669_assembly_CDS_4769","persistent","175","175"
"DRR381669_assembly_CDS_4833","shell","151","151"
"DRR381669_assembly_CDS_4865","shell","58","61"
"DRR381669_assembly_CDS_4897","shell","160","160"
"DRR381723_assembly_CDS_1426","persistent","175","175"
"DRR381723_assembly_CDS_1490","persistent","175","175"
"DRR381723_assembly_CDS_1778","persistent","175","175"
"DRR381723_assembly_CDS_1810","persistent","175","175"
"DRR381723_assembly_CDS_1842","shell","18","18"
"DRR381723_assembly_CDS_2066","persistent","175","176"
"DRR381723_assembly_CDS_2098","persistent","175","175"
"DRR381723_assembly_CDS_2130","persistent","175","175"
"DRR381723_assembly_CDS_2162","persistent","175","177"
"DRR381723_assembly_CDS_2194","persistent","175","175"
"SRR4301519_assembly_CDS_1473","persistent","175","175"
"SRR4301519_assembly_CDS_1505","persistent","175","175"
"SRR4301519_assembly_CDS_1537","persistent","175","175"
"SRR4301519_assembly_CDS_1569","persistent","175","175"
"SRR4301519_assembly_CDS_2210","persistent","175","175"
"SRR4301519_assembly_CDS_2242","persistent","175","175"
"SRR4301519_assembly_CDS_2850","shell","55","55"
"SRR4301519_assembly_CDS_3234","persistent","174","174"
"SRR4301519_assembly_CDS_3426","persistent","175","175"
"SRR4301519_assembly_CDS_3458","persistent","175","175"
"SRR4301519_assembly_CDS_3651","shell","52","52"
"SRR4301519_assembly_CDS_3779","persistent","175","175"
"SRR4301519_assembly_CDS_3811","cloud","8","8"
"SRR4301519_assembly_CDS_4259","persistent","175","175"
"SRR4301519_assembly_CDS_4291","persistent","175","175"
"SRR4301519_assembly_CDS_4323","persistent","169","169"
"SRR4301519_assembly_CDS_4483","persistent","175","175"
"SRR4301519_assembly_CDS_4515","persistent","175","175"
"SRR9994124_assembly_CDS_0717","cloud","1","1"
"SRR9994124_assembly_CDS_0749","persistent","175","175"
"SRR9994124_assembly_CDS_2413","persistent","175","177"
"SRR9994124_assembly_CDS_2445","persistent","175","175"
"DRR381745_assembly_CDS_3604","persistent","175","175"
"DRR381745_assembly_CDS_4533","shell","168","168"
"SRR15415549_assembly_CDS_0677","persistent","175","175"
"SRR15415549_assembly_CDS_1093","cloud","2","2"
"DRR381616_assembly_CDS_1317","persistent","175","175"
"DRR381616_assembly_CDS_1349","persistent","175","176"
"DRR381616_assembly_CDS_1381","persistent","175","175"
"DRR381616_assembly_CDS_1413","persistent","175","175"
"DRR381616_assembly_CDS_1445","persistent","175","175"
"DRR381616_assembly_CDS_1477","persistent","175","175"
"DRR381616_assembly_CDS_1605","persistent","175","175"
"DRR381616_assembly_CDS_2149","persistent","175","177"
"DRR381616_assembly_CDS_2181","persistent","172","172"
"SRR4301564_assembly_CDS_3943","shell","48","48"
"SRR4301564_assembly_CDS_4487","shell","114","143"
"SRR4301564_assembly_CDS_4711","cloud","5","10"
