Isolate,Stx_type,ggcaller_stx_90%complete
SRR4301519,stx_B,2
SRR4301521,stx_A,3
SRR4301521,stx_B,1
SRR4301522,stx_A,3
SRR4301522,stx_B,1
SRR4301525,stx_A,3
SRR4301525,stx_B,1
SRR4301527,stx_A,4
SRR4301527,stx_B,2
SRR4301531,stx_A,4
SRR4301531,stx_B,2
SRR4301544,stx_A,4
SRR4301544,stx_B,3
SRR4301548,stx_A,3
SRR4301548,stx_B,2
SRR4301554,stx_A,3
SRR4301554,stx_B,1
SRR4301555,stx_A,3
SRR4301555,stx_B,1
SRR4301562,stx_A,1
SRR4301564,stx_A,3
SRR4301564,stx_B,1
SRR4301569,stx_A,4
SRR4301569,stx_B,2
SRR4301571,stx_A,3
SRR4301571,stx_B,1
SRR4301574,stx_A,3
SRR4301574,stx_B,1
SRR4301577,stx_A,3
SRR4301577,stx_B,1
SRR4301579,stx_A,3
SRR4301579,stx_B,1
SRR4301588,stx_A,3
SRR4301588,stx_B,1
SRR5413253,stx_A,4
SRR5413253,stx_B,2
SRR5864678,stx_A,3
SRR5864678,stx_B,2
SRR5870510,stx_A,3
SRR5870510,stx_B,2
SRR6118141,stx_A,3
SRR6118141,stx_B,2
SRR6118142,stx_A,3
SRR6118142,stx_B,2
SRR6373397,stx_A,3
SRR6373397,stx_B,2
SRR6929601,stx_A,3
SRR6929601,stx_B,1
SRR6929602,stx_A,3
SRR6929602,stx_B,1
SRR6929603,stx_B,1
SRR6929603,stx_A,1
SRR6929604,stx_B,1
SRR6929604,stx_A,1
SRR6929605,stx_A,4
SRR6929605,stx_B,2
SRR6929606,stx_A,4
SRR6929606,stx_B,2
SRR6929607,stx_A,4
SRR6929607,stx_B,2
SRR6929608,stx_A,4
SRR6929608,stx_B,2
SRR6929609,stx_A,4
SRR6929609,stx_B,2
SRR6929610,stx_A,4
SRR6929610,stx_B,2
SRR6929611,stx_A,4
SRR6929611,stx_B,2
SRR6929612,stx_A,3
SRR6929612,stx_B,1
SRR6929613,stx_A,3
SRR6929613,stx_B,1
SRR6929614,stx_A,3
SRR6929614,stx_B,1
SRR6929615,stx_A,3
SRR6929615,stx_B,1
SRR6929616,stx_A,3
SRR6929616,stx_B,1
SRR6929617,stx_A,3
SRR6929617,stx_B,1
SRR6929618,stx_A,3
SRR6929618,stx_B,1
SRR6929619,stx_A,3
SRR6929619,stx_B,1
SRR6929620,stx_A,3
SRR6929620,stx_B,1
SRR6929621,stx_A,3
SRR6929621,stx_B,1
SRR6929622,stx_A,4
SRR6929622,stx_B,2
SRR6929623,stx_A,4
SRR6929623,stx_B,2
SRR6929624,stx_A,3
SRR6929624,stx_B,1
SRR6929625,stx_A,3
SRR6929625,stx_B,1
SRR6929626,stx_B,1
SRR6929626,stx_A,1
SRR6929627,stx_A,3
SRR6929627,stx_B,1
SRR6929628,stx_A,3
SRR6929628,stx_B,1
SRR6929630,stx_A,3
SRR6929630,stx_B,1
SRR6929631,stx_A,3
SRR6929631,stx_B,1
SRR6929632,stx_A,3
SRR6929632,stx_B,2
SRR6929633,stx_A,3
SRR6929633,stx_B,2
SRR6929634,stx_A,3
SRR6929634,stx_B,2
SRR6929635,stx_B,1
SRR6929635,stx_A,1
SRR6929636,stx_A,4
SRR6929636,stx_B,2
SRR6929637,stx_A,4
SRR6929637,stx_B,2
SRR6929638,stx_A,3
SRR6929638,stx_B,1
SRR6929639,stx_A,3
SRR6929639,stx_B,1
SRR7439153,stx_A,4
SRR7439153,stx_B,2
SRR7460819,stx_A,3
SRR7460819,stx_B,1
SRR7896257,stx_A,4
SRR7896257,stx_B,3
SRR8192791,stx_A,3
SRR8192791,stx_B,2
SRR8292155,stx_A,4
SRR8292155,stx_B,3
SRR941218,stx_A,3
SRR941218,stx_B,1
