genome	Unique	Distinct	Total	Max_count	rep_types	rep_frac_distinct	rep_frac_total
GCF_001420935.1_ASM142093v1	4919137	5036308	5375150	53	117171	0.023265	0.084837
GCF_001420955.1_ASM142095v1	5163973	5291535	5514263	57	127562	0.024107	0.063524
GCF_001442495.1_ASM144249v1	4714673	4755202	4863481	55	40529	0.008523	0.030597
GCF_001469815.1_ASM146981v1	5075781	5135172	5250370	50	59391	0.011566	0.033253
GCF_001485455.1_ASM148545v1	5046714	5099630	5195377	35	52916	0.010376	0.028614
GCF_001513615.1_ASM151361v1	5015698	5090532	5219003	50	74834	0.014701	0.038955
GCF_001513635.1_ASM151363v1	5083803	5173724	5317039	50	89921	0.017380	0.043866
GCF_001515725.1_ASM151572v1	4745793	4787270	4879911	59	41477	0.008664	0.027484
GCF_001544635.1_ASM154463v1	4494469	4544579	4659605	82	50110	0.011026	0.035440
GCF_001558995.2_ASM155899v2	5134734	5273959	5574553	62	139225	0.026399	0.078898
GCF_001559615.2_ASM155961v2	4347854	4380583	4478938	77	32729	0.007471	0.029267
GCF_001559635.1_ASM155963v1	4330334	4411003	4569165	77	80669	0.018288	0.052270
GCF_001559655.1_ASM155965v1	4483674	4591816	4779763	81	108142	0.023551	0.061946
GCF_001559675.1_ASM155967v1	4445519	4633656	4959139	87	188137	0.040602	0.103570
GCF_001566335.1_ASM156633v1	4482573	4536824	4657521	81	54251	0.011958	0.037562
GCF_001566615.1_ASM156661v1	5057613	5097945	5176004	48	40332	0.007911	0.022873
GCF_001566635.1_ASM156663v1	5092571	5137794	5219892	44	45223	0.008802	0.024392
GCF_001566675.1_ASM156667v1	5004295	5085218	5256338	50	80923	0.015913	0.047950
GCF_001577325.1_ASM157732v1	5059713	5106875	5196989	48	47162	0.009235	0.026415
GCF_001593565.1_ASM159356v1	5100031	5187392	5331401	50	87361	0.016841	0.043398
GCF_001610755.1_ASM161075v1	5122199	5229130	5428446	77	106931	0.020449	0.056415
GCF_001612475.1_ASM161247v1	5083876	5251389	5643059	61	167513	0.031899	0.099092
GCF_001612495.1_ASM161249v1	5157387	5291907	5601931	61	134520	0.025420	0.079355
GCF_001617565.1_ASM161756v1	5218245	5281517	5418153	50	63272	0.011980	0.036896
GCF_001618325.1_ASM161832v1	4911840	4994334	5139992	51	82494	0.016518	0.044388
GCF_001618345.2_ASM161834v2	4861946	4924069	5040870	49	62123	0.012616	0.035495
GCF_001618365.1_ASM161836v1	5026646	5088800	5212238	51	62154	0.012214	0.035607
GCF_001644725.1_ASM164472v1	4828559	4878555	4989536	45	49996	0.010248	0.032263
GCF_001644745.1_ASM164474v1	5182128	5292136	5494926	64	110008	0.020787	0.056925
GCF_001645235.2_ASM164523v2	5146023	5273306	5518590	45	127283	0.024137	0.067511
GCF_001650275.1_ASM165027v1	5228022	5403349	5750150	61	175327	0.032448	0.090803
GCF_001650295.1_ASM165029v1	4937268	5259999	5831189	61	322731	0.061356	0.153300
GCF_001651925.2_ASM165192v2	5222009	5379320	5740785	61	157311	0.029244	0.090367
GCF_001651945.2_ASM165194v2	5170618	5326838	5679868	61	156220	0.029327	0.089659
GCF_001651965.2_ASM165196v2	5256154	5413821	5775460	61	157667	0.029123	0.089916
GCF_001660565.1_ASM166056v1	4971368	5046624	5186103	45	75256	0.014912	0.041406
GCF_001660585.1_ASM166058v1	4973235	5007794	5074759	68	34559	0.006901	0.020006
GCF_001663075.1_ASM166307v1	4455790	4490349	4595557	81	34559	0.007696	0.030414
GCF_001663475.1_ASM166347v1	5043210	5149123	5312396	51	105913	0.020569	0.050671
GCF_001675145.1_ASM167514v1	5131433	5204188	5331824	61	72755	0.013980	0.037584
GCF_001677475.2_ASM167747v2	5251541	5473002	5848720	44	221461	0.040464	0.102104
GCF_001677495.1_ASM167749v1	5173562	5291963	5511810	68	118401	0.022374	0.061368
GCF_001677515.1_ASM167751v1	5087923	5209238	5456145	72	121315	0.023288	0.067488
GCF_001678925.1_ASM167892v1	4570121	4614568	4731473	77	44447	0.009632	0.034102
GCF_001678965.1_ASM167896v1	5125388	5229882	5457371	47	104494	0.019980	0.060832
GCF_001679985.1_ASM167998v1	5178386	5257211	5424030	48	78825	0.014994	0.045288
GCF_001682305.2_ASM168230v2	4456568	4498040	4617683	80	41472	0.009220	0.034891
GCF_001683435.1_ASM168343v1	4966244	5032799	5154621	61	66555	0.013224	0.036545
GCF_001693315.1_ASM169331v1	5075128	5177292	5329713	55	102164	0.019733	0.047767
GCF_001693635.1_ASM169363v1	5007820	5181255	5494758	45	173435	0.033474	0.088619
GCF_001695515.1_ASM169551v1	5215212	5410122	5866160	61	194910	0.036027	0.110967
GCF_001721125.1_ASM172112v1	5098548	5305610	5704376	55	207062	0.039027	0.106204
GCF_001721225.1_ASM172122v1	4951568	5082545	5376386	55	130977	0.025770	0.079016
GCF_001721525.1_ASM172152v1	5367433	5456528	5599683	36	89095	0.016328	0.041476
GCF_001723505.1_ASM172350v1	4446878	4482224	4583617	76	35346	0.007886	0.029832
GCF_001735705.1_ASM173570v1	4582106	4624197	4731910	81	42091	0.009102	0.031658
GCF_001750845.1_ASM175084v1	4837221	4907111	5100752	65	69890	0.014243	0.051665
GCF_001753445.1_ASM175344v1	5069841	5192882	5508967	61	123041	0.023694	0.079711
GCF_001753465.1_ASM175346v1	5064873	5188491	5500733	62	123618	0.023825	0.079237
GCF_001753485.1_ASM175348v1	5109877	5242524	5530218	61	132647	0.025302	0.076008
GCF_001753505.1_ASM175350v1	5069228	5192890	5509189	62	123662	0.023814	0.079859
GCF_001753525.1_ASM175352v1	5064901	5188639	5503136	62	123738	0.023848	0.079634
GCF_001753545.1_ASM175354v1	5108750	5240187	5531280	61	131437	0.025083	0.076389
GCF_001753565.1_ASM175356v1	5064454	5186973	5497101	62	122519	0.023621	0.078705
GCF_001806265.1_ASM180626v1	5148773	5279748	5559757	61	130975	0.024807	0.073921
GCF_001806285.1_ASM180628v1	5149243	5279913	5559421	61	130670	0.024749	0.073781
GCF_001860505.1_ASM186050v1	4673786	4722758	4839246	75	48972	0.010369	0.034191
GCF_001865295.1_ASM186529v1	5150716	5307743	5618561	61	157027	0.029585	0.083268
GCF_001874485.1_ASM187448v1	5114316	5257500	5483011	50	143184	0.027234	0.067243
GCF_001886535.1_ASM188653v1	4906730	4972153	5200796	70	65423	0.013158	0.056542
GCF_001886555.1_ASM188655v1	4908499	4972219	5116378	70	63720	0.012815	0.040630
GCF_001886575.1_ASM188657v1	4908451	4972172	5114234	70	63721	0.012816	0.040237
GCF_001886755.1_ASM188675v1	4907325	4972213	5116507	70	64888	0.013050	0.040884
GCF_001886895.1_ASM188689v1	5044295	5117101	5267243	49	72806	0.014228	0.042327
GCF_001886935.1_ASM188693v1	4732882	4776305	4867132	43	43423	0.009091	0.027583
GCF_001888075.1_ASM188807v1	4733921	4812340	5022707	61	78419	0.016295	0.057496
GCF_001890205.1_ASM189020v1	5114810	5260318	5604388	62	145508	0.027661	0.087356
GCF_001890225.1_ASM189022v1	5172425	5299063	5568323	62	126638	0.023898	0.071098
GCF_001890245.1_ASM189024v1	5156161	5289715	5608832	62	133554	0.025248	0.080707
GCF_001890265.1_ASM189026v1	5077512	5212125	5504305	62	134613	0.025827	0.077538
GCF_001890285.2_ASM189028v2	5112113	5264826	5611685	62	152713	0.029006	0.089024
GCF_001890305.1_ASM189030v1	5093284	5214615	5462023	62	121331	0.023267	0.067510
GCF_001890325.1_ASM189032v1	5143825	5276314	5567345	62	132489	0.025110	0.076072
GCF_001890345.1_ASM189034v1	5100912	5237941	5520500	62	137029	0.026161	0.076005
GCF_001890365.1_ASM189036v1	4986812	5046647	5158553	24	59835	0.011856	0.033292
GCF_001900295.1_ASM190029v1	4694249	4744911	4843003	25	50662	0.010677	0.030715
GCF_001900315.1_ASM190031v1	4840782	4897838	4989092	48	57056	0.011649	0.029727
GCF_001900335.1_ASM190033v1	4850002	4911550	5021672	50	61548	0.012531	0.034186
GCF_001900355.1_ASM190035v1	4455413	4908586	5414551	53	453173	0.092323	0.177141
GCF_001900375.1_ASM190037v1	4704696	4741839	4827759	52	37143	0.007833	0.025491
GCF_001900395.1_ASM190039v1	4934764	5014062	5130626	50	79298	0.015815	0.038175
GCF_001900415.1_ASM190041v1	4699940	4736093	4833208	73	36153	0.007634	0.027573
GCF_001900435.1_ASM190043v1	4701067	4737066	4832547	73	35999	0.007599	0.027207
GCF_001900455.1_ASM190045v1	4640520	4689235	4807141	82	48715	0.010389	0.034661
GCF_001900475.1_ASM190047v1	4685391	4720890	4805144	46	35499	0.007520	0.024922
GCF_001900495.1_ASM190049v1	4669195	4717878	4818197	51	48683	0.010319	0.030925
GCF_001900515.1_ASM190051v1	5003997	5152205	5413226	48	148208	0.028766	0.075598
GCF_001900535.1_ASM190053v1	5175686	5352970	5633905	47	177284	0.033119	0.081332
GCF_001900555.1_ASM190055v1	4977320	5015997	5096039	57	38677	0.007711	0.023296
GCF_001900575.1_ASM190057v1	4442882	4499302	4677397	70	56420	0.012540	0.050138
GCF_001900595.1_ASM190059v1	4446230	4784722	5204074	50	338492	0.070744	0.145625
GCF_001900615.1_ASM190061v1	4745222	4782989	4876851	78	37767	0.007896	0.026991
GCF_001900635.1_ASM190063v1	5041246	5110229	5236109	60	68983	0.013499	0.037215
GCF_001900655.1_ASM190065v1	4677282	4762951	4935424	77	85669	0.017987	0.052304
GCF_001900675.1_ASM190067v1	4779629	4864147	5019028	45	84518	0.017376	0.047698
GCF_001900695.1_ASM190069v1	4743901	4801172	4910812	53	57271	0.011929	0.033988
GCF_001900715.1_ASM190071v1	4728669	4765211	4874177	77	36542	0.007668	0.029853
GCF_001900735.1_ASM190073v1	4703828	4934487	5247623	58	230659	0.046744	0.103627
GCF_001900775.1_ASM190077v1	4609377	4672794	4825771	73	63417	0.013572	0.044841
GCF_001900795.1_ASM190079v1	4340393	4404538	4577779	76	64145	0.014563	0.051856
GCF_001900815.1_ASM190081v1	4576944	4604489	4679122	42	27545	0.005982	0.021837
GCF_001900835.1_ASM190083v1	4933301	5004733	5137128	67	71432	0.014273	0.039677
GCF_001900885.1_ASM190088v1	4620334	4656003	4735469	47	35669	0.007661	0.024313
GCF_001900905.1_ASM190090v1	4511852	4542405	4632348	45	30553	0.006726	0.026012
GCF_001900925.1_ASM190092v1	4619443	4654831	4733595	47	35388	0.007602	0.024115
GCF_001900945.1_ASM190094v1	3932209	4632708	5399163	53	700499	0.151207	0.271700
GCF_001900965.1_ASM190096v1	4704545	4744376	4838788	52	39831	0.008395	0.027743
GCF_001900985.1_ASM190098v1	4820484	4894368	5043691	78	73884	0.015096	0.044255
GCF_001901005.1_ASM190100v1	4736199	4768736	4857929	46	32537	0.006823	0.025058
GCF_001901025.1_ASM190102v1	4941878	5023566	5148006	47	81688	0.016261	0.040040
GCF_001901045.1_ASM190104v1	4941534	5022487	5146279	47	80953	0.016118	0.039785
GCF_001901065.1_ASM190106v1	5076809	5151787	5310063	46	74978	0.014554	0.043927
GCF_001901085.1_ASM190108v1	4949785	4981143	5045208	51	31358	0.006295	0.018914
GCF_001901105.1_ASM190110v1	5070697	5144936	5304269	46	74239	0.014430	0.044035
GCF_001901125.1_ASM190112v1	4805401	4856734	4954681	44	51333	0.010569	0.030129
GCF_001901145.1_ASM190114v1	5078013	5156242	5305994	46	78229	0.015172	0.042967
GCF_001901165.1_ASM190116v1	5075720	5159541	5328383	46	83821	0.016246	0.047418
GCF_001901185.1_ASM190118v1	5015590	5065809	5160096	50	50219	0.009913	0.028005
GCF_001901215.1_ASM190121v1	5076348	5160476	5327008	46	84128	0.016302	0.047055
GCF_001901315.1_ASM190131v1	4564814	4593790	4707168	84	28976	0.006308	0.030242
GCF_001901365.1_ASM190136v1	4868926	4929601	5072773	77	60675	0.012308	0.040185
GCF_001901405.1_ASM190140v1	4694291	4794539	4981680	46	100248	0.020909	0.057689
GCF_001901425.1_ASM190142v1	4965954	5115638	5372371	48	149684	0.029260	0.075649
GCF_001901445.1_ASM190144v1	4827706	4874034	4992442	45	46328	0.009505	0.032997
GCF_001901465.1_ASM190146v1	4784142	4814877	4886190	42	30735	0.006383	0.020885
GCF_001932515.1_ASM193251v1	4644117	4682352	4792180	81	38235	0.008166	0.030897
GCF_001936315.1_ASM193631v1	5266813	5421349	5773602	81	154536	0.028505	0.087777
GCF_001971765.1_ASM197176v1	5161101	5212756	5312677	72	51655	0.009909	0.028531
GCF_001999185.1_ASM199918v1	4510877	4544662	4643264	81	33785	0.007434	0.028512
GCF_002007705.1_ASM200770v1	4867892	4948043	5111900	77	80151	0.016199	0.047733
GCF_002009315.1_ASM200931v1	5077103	5208157	5465146	55	131054	0.025163	0.071003
GCF_002011945.1_ASM201194v1	5033597	5096858	5222916	43	63261	0.012412	0.036248
GCF_002011965.1_ASM201196v1	4992327	5033903	5126205	50	41576	0.008259	0.026116
GCF_002011985.1_ASM201198v1	5269837	5338608	5471058	47	68771	0.012882	0.036779
GCF_002012005.1_ASM201200v1	4827091	4865036	4968036	54	37945	0.007800	0.028370
GCF_002012025.1_ASM201202v1	5189834	5265766	5395225	50	75932	0.014420	0.038069
GCF_002012045.1_ASM201204v1	5072675	5147683	5275914	25	75008	0.014571	0.038522
GCF_002012065.1_ASM201206v1	5168544	5263582	5405079	50	95038	0.018056	0.043762
GCF_002012085.1_ASM201208v1	5484957	5572429	5727247	50	87472	0.015697	0.042305
GCF_002012105.1_ASM201210v1	4916388	4966385	5090400	74	49997	0.010067	0.034184
GCF_002012125.1_ASM201212v1	4871081	4938790	5090121	69	67709	0.013710	0.043032
GCF_002012145.1_ASM201214v1	5009607	5039603	5101868	49	29996	0.005952	0.018084
GCF_002012165.1_ASM201216v1	5209832	5256904	5351814	50	47072	0.008954	0.026530
GCF_002012205.1_ASM201220v1	4933060	4971216	5065723	50	38156	0.007675	0.026188
GCF_002012225.1_ASM201222v1	5389549	5462176	5597369	35	72627	0.013296	0.037128
GCF_002012245.1_ASM201224v1	5078719	5134121	5252646	50	55402	0.010791	0.033112
GCF_002012265.1_ASM201226v1	5012203	5062413	5172958	50	50210	0.009918	0.031076
GCF_002012305.1_ASM201230v1	5261303	5302138	5382961	49	40835	0.007702	0.022601
GCF_002024865.1_ASM202486v1	4938256	4990643	5076595	48	52387	0.010497	0.027250
GCF_002055605.1_ASM205560v1	4812824	4902186	5112464	53	89362	0.018229	0.058610
GCF_002055635.1_ASM205563v1	5192188	5245629	5364988	45	53441	0.010188	0.032209
GCF_002056065.1_ASM205606v1	4587946	4629784	4734159	79	41838	0.009037	0.030885
GCF_002056145.1_ASM205614v1	4718815	4751417	4826694	58	32602	0.006862	0.022350
GCF_002056635.1_ASM205663v1	5108629	5154507	5261945	50	45878	0.008901	0.029137
GCF_002057245.1_ASM205724v1	4967233	5095858	5371271	53	128625	0.025241	0.075222
GCF_002057355.1_ASM205735v1	4725415	4794445	4942205	47	69030	0.014398	0.043865
