"Isolate","Stx_type","virulencefinder_stx_complete","contig_stx_blast_assembly","fragmentation_status","Tool","complete_genomes","stx_value","stx_profile","TP","FP","FN"
"DRR381616","stx_A",3,10,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c",3,0,0
"DRR381616","stx_B",3,4,"Fragmented stx","BAKTA",100,3,"stx2a; stx2a; stx2c",3,0,0
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",11,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",11,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",89,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",89,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_A",3,10,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_B",3,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",11,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",11,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",50,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2a; stx2c",2,0,1
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",89,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",89,2,"stx2a; stx2a; stx2c",2,0,1
"DRR381616","stx_A",3,10,"Fragmented stx","Panaroo",100,1,"stx2a; stx2a; stx2c",1,0,2
"DRR381616","stx_B",3,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2a; stx2c",2,0,1
"DRR381616","stx_A",3,10,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","ggCaller",11,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",11,0,"stx2a; stx2a; stx2c",0,0,3
"DRR381616","stx_A",3,10,"Fragmented stx","ggCaller",50,3,"stx2a; stx2a; stx2c",3,0,0
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",50,2,"stx2a; stx2a; stx2c",2,0,1
"DRR381616","stx_A",3,10,"Fragmented stx","ggCaller",89,3,"stx2a; stx2a; stx2c",3,0,0
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",89,2,"stx2a; stx2a; stx2c",2,0,1
"DRR381616","stx_A",3,10,"Fragmented stx","ggCaller",100,3,"stx2a; stx2a; stx2c",3,0,0
"DRR381616","stx_B",3,4,"Fragmented stx","ggCaller",100,2,"stx2a; stx2a; stx2c",2,0,1
"DRR381634","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381634","stx_B",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381634","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a",1,2,0
"DRR381634","stx_B",1,1,"Complete stx","ggCaller",50,2,"stx2a",1,1,0
"DRR381634","stx_A",1,1,"Complete stx","ggCaller",89,3,"stx2a",1,2,0
"DRR381634","stx_B",1,1,"Complete stx","ggCaller",89,2,"stx2a",1,1,0
"DRR381634","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a",1,2,0
"DRR381634","stx_B",1,1,"Complete stx","ggCaller",100,2,"stx2a",1,1,0
"DRR381635","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","PPanGGOLiN",50,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","PPanGGOLiN",89,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","PPanGGOLiN",100,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","Panaroo",0,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","Panaroo",11,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","Panaroo",50,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","Panaroo",89,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","Panaroo",100,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","ggCaller",0,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381635","stx_B",1,1,"Complete stx","ggCaller",11,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","ggCaller",50,3,"stx2a",1,2,0
"DRR381635","stx_B",1,1,"Complete stx","ggCaller",50,2,"stx2a",1,1,0
"DRR381635","stx_A",1,1,"Complete stx","ggCaller",89,3,"stx2a",1,2,0
"DRR381635","stx_B",1,1,"Complete stx","ggCaller",89,1,"stx2a",1,0,0
"DRR381635","stx_A",1,1,"Complete stx","ggCaller",100,3,"stx2a",1,2,0
"DRR381635","stx_B",1,1,"Complete stx","ggCaller",100,1,"stx2a",1,0,0
"DRR381661","stx_A",2,4,"Fragmented stx","BAKTA",0,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","BAKTA",100,2,"stx2a; stx2c",2,0,0
"DRR381661","stx_B",2,4,"Fragmented stx","BAKTA",100,2,"stx2a; stx2c",2,0,0
"DRR381661","stx_A",2,4,"Fragmented stx","PPanGGOLiN",0,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","PPanGGOLiN",11,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","PPanGGOLiN",11,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","PPanGGOLiN",50,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","PPanGGOLiN",89,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","PPanGGOLiN",89,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_A",2,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_A",2,4,"Fragmented stx","Panaroo",0,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","Panaroo",11,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","Panaroo",11,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","Panaroo",50,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","Panaroo",50,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","Panaroo",89,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","Panaroo",89,2,"stx2a; stx2c",2,0,0
"DRR381661","stx_A",2,4,"Fragmented stx","Panaroo",100,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2c",2,0,0
"DRR381661","stx_A",2,4,"Fragmented stx","ggCaller",0,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","ggCaller",11,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","ggCaller",11,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","ggCaller",50,1,"stx2a; stx2c",1,0,1
"DRR381661","stx_B",2,4,"Fragmented stx","ggCaller",50,0,"stx2a; stx2c",0,0,2
"DRR381661","stx_A",2,4,"Fragmented stx","ggCaller",89,3,"stx2a; stx2c",2,1,0
"DRR381661","stx_B",2,4,"Fragmented stx","ggCaller",89,2,"stx2a; stx2c",2,0,0
"DRR381661","stx_A",2,4,"Fragmented stx","ggCaller",100,3,"stx2a; stx2c",2,1,0
"DRR381661","stx_B",2,4,"Fragmented stx","ggCaller",100,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","BAKTA",0,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","BAKTA",0,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","BAKTA",100,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_B",2,4,"Fragmented stx","BAKTA",100,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","PPanGGOLiN",0,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","PPanGGOLiN",0,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","PPanGGOLiN",11,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","PPanGGOLiN",11,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","PPanGGOLiN",50,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_A",2,4,"Fragmented stx","PPanGGOLiN",89,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","PPanGGOLiN",89,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_A",2,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","PPanGGOLiN",100,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_A",2,4,"Fragmented stx","Panaroo",0,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","Panaroo",0,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","Panaroo",11,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","Panaroo",11,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","Panaroo",50,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","Panaroo",50,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","Panaroo",89,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","Panaroo",89,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","Panaroo",100,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","Panaroo",100,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","ggCaller",0,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","ggCaller",0,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","ggCaller",11,1,"stx2a; stx2c",1,0,1
"DRR381665","stx_B",2,4,"Fragmented stx","ggCaller",11,0,"stx2a; stx2c",0,0,2
"DRR381665","stx_A",2,4,"Fragmented stx","ggCaller",50,3,"stx2a; stx2c",2,1,0
"DRR381665","stx_B",2,4,"Fragmented stx","ggCaller",50,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","ggCaller",89,3,"stx2a; stx2c",2,1,0
"DRR381665","stx_B",2,4,"Fragmented stx","ggCaller",89,2,"stx2a; stx2c",2,0,0
"DRR381665","stx_A",2,4,"Fragmented stx","ggCaller",100,3,"stx2a; stx2c",2,1,0
"DRR381665","stx_B",2,4,"Fragmented stx","ggCaller",100,2,"stx2a; stx2c",2,0,0
"DRR381669","stx_A",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381669","stx_B",1,1,"Complete stx","BAKTA",0,1,"stx2a",1,0,0
"DRR381669","stx_A",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381669","stx_B",1,1,"Complete stx","BAKTA",100,1,"stx2a",1,0,0
"DRR381669","stx_A",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381669","stx_B",1,1,"Complete stx","PPanGGOLiN",0,1,"stx2a",1,0,0
"DRR381669","stx_A",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
"DRR381669","stx_B",1,1,"Complete stx","PPanGGOLiN",11,1,"stx2a",1,0,0
